LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Jalen Green	0.52	OVER	4.5	ft	1.0833333333333335
NBA	LeBron James	0.5185185185185185	UNDER	1.5	blk+stl	1.0769230769230769
NBA	Mitchell Robinson	0.5172413793103449	OVER	17.5	pts+trb	1.0714285714285714
NBA	Mitchell Robinson	0.5172413793103449	UNDER	10.5	trb+ast	1.0714285714285714
NBA	Jordan Poole	0.41975308641975306	OVER	7	trb+ast	1.0625
NBA	Draymond Green	0.5138888888888888	OVER	22.5	pts+trb+ast	1.0571428571428572
NBA	RJ Barrett	0.5138888888888888	UNDER	0.5	blk+stl	1.0571428571428572
NBA	RJ Barrett	0.5138888888888888	OVER	1.5	fg3	1.0571428571428572
NBA	CJ McCollum	0.5135135135135135	UNDER	31.5	pts+trb+ast	1.0555555555555554
NBA	Anthony Edwards	0.5128205128205128	OVER	30.5	pts+ast	1.0526315789473684
NBA	Anthony Edwards	0.5128205128205128	OVER	35.5	pts+trb+ast	1.0526315789473684
NBA	Anthony Edwards	0.5128205128205128	OVER	9.5	trb+ast	1.0526315789473684
NBA	Kawhi Leonard	0.5098039215686274	UNDER	24.5	pts	1.04
NBA	Kawhi Leonard	0.5098039215686274	UNDER	28.5	pts+ast	1.04
NBA	Kawhi Leonard	0.5098039215686274	UNDER	10.5	trb+ast	1.04
NBA	Stephen Curry	0.509090909090909	OVER	4.5	ft	1.037037037037037
NBA	Stephen Curry	0.509090909090909	OVER	40.5	pts+trb+ast	1.037037037037037
NBA	Draymond Green	0.4305555555555556	OVER	7	trb	1.0333333333333334
NBA	Ivica Zubac	0.4666666666666667	OVER	10	trb+ast	1.0294117647058825
NBA	Rudy Gobert	0.5072463768115942	OVER	1.5	tov	1.0294117647058825
NBA	Jalen Green	0.5066666666666667	OVER	3.5	trb	1.0270270270270272
NBA	Onyeka Okongwu	0.5063291139240507	UNDER	0.5	stl	1.0256410256410258
NBA	Anthony Edwards	0.5	OVER	2.5	fg3	1.0
NBA	Anthony Edwards	0.5	OVER	3.5	ft	1.0
NBA	Anthony Edwards	0.5	OVER	31.5	pts+trb	1.0
NBA	Eric Gordon	0.5	OVER	10.5	pts	1.0
NBA	Eric Gordon	0.5	OVER	12.5	pts+trb	1.0
NBA	LeBron James	0.5	OVER	6.5	ast	1.0
NBA	Mitchell Robinson	0.5	OVER	1.5	blk	1.0
NBA	Russell Westbrook	0.5	OVER	20.5	pts+trb	1.0
NBA	Russell Westbrook	0.5	OVER	27.5	pts+trb+ast	1.0
